Date,Open,High,Low,Close,Adj Close,Volume
2015-05-20,63.780998,63.873001,63.400002,63.785000,63.785000,0
2015-05-21,63.624001,63.743000,63.502998,63.625000,63.625000,0
2015-05-22,63.630001,63.673000,63.389999,63.625999,63.625999,0
2015-05-25,63.483002,63.660000,63.470001,63.483002,63.483002,0
2015-05-26,63.606998,64.013000,63.470001,63.570999,63.570999,0
2015-05-27,63.991001,64.153000,63.849998,63.976002,63.976002,0
2015-05-28,63.875000,64.000000,63.700001,63.874001,63.874001,0
2015-05-29,63.825001,63.938999,63.660000,63.825001,63.825001,0
2015-06-01,63.736000,63.799999,63.500000,63.736000,63.736000,0
2015-06-02,63.612999,63.958000,63.609001,63.610001,63.610001,0
2015-06-03,63.662998,64.063004,63.639999,63.661999,63.661999,0
2015-06-04,64.063004,64.239998,63.938000,64.058998,64.058998,0
2015-06-05,63.998001,64.150002,63.740002,64.000999,64.000999,0
2015-06-08,63.762001,64.163002,63.762001,63.762001,63.762001,0
2015-06-09,64.022003,64.030998,63.842999,63.976002,63.976002,0
2015-06-10,64.043999,64.063004,63.750000,64.038002,64.038002,0
2015-06-11,63.799999,64.013000,63.743000,63.799000,63.799000,0
2015-06-12,63.999001,64.180000,63.880001,63.999001,63.999001,0
2015-06-15,64.092003,64.190002,63.970001,64.092003,64.092003,0
2015-06-16,64.052002,64.315002,63.970001,64.052002,64.052002,0
2015-06-17,64.181999,64.273003,63.889999,64.181999,64.181999,0
2015-06-18,64.002998,64.002998,63.580002,64.002998,64.002998,0
2015-06-19,63.673000,63.858002,63.417000,63.645000,63.645000,0
2015-06-22,63.492001,63.580002,63.360001,63.492001,63.492001,0
2015-06-23,63.507000,63.687000,63.389999,63.507000,63.507000,0
2015-06-24,63.592999,63.702999,63.490002,63.599998,63.599998,0
2015-06-25,63.522999,63.632999,63.459999,63.562000,63.562000,0
2015-06-26,63.511002,63.638000,63.490002,63.511002,63.511002,0
2015-06-29,63.444000,63.950001,63.444000,63.444000,63.444000,0
2015-06-30,63.682999,63.792999,63.560001,63.723999,63.723999,0
2015-07-01,63.590000,63.689999,63.279999,63.590000,63.590000,0
2015-07-02,63.578999,63.653000,63.290001,63.574001,63.574001,0
2015-07-03,63.370998,63.483002,63.290001,63.369999,63.369999,0
2015-07-06,63.430000,63.639999,63.209999,63.403999,63.403999,0
2015-07-07,63.342999,63.580002,63.250000,63.365002,63.365002,0
2015-07-08,63.518002,63.643002,63.400002,63.518002,63.518002,0
2015-07-09,63.561001,63.573002,63.283001,63.562000,63.562000,0
2015-07-10,63.367001,63.483002,63.279999,63.363998,63.363998,0
2015-07-13,63.352001,63.583000,63.290001,63.352001,63.352001,0
2015-07-14,63.500999,63.583000,63.258999,63.514000,63.514000,0
2015-07-15,63.325001,63.592999,63.290001,63.324001,63.324001,0
2015-07-16,63.522999,63.560001,63.389999,63.523998,63.523998,0
2015-07-17,63.511002,63.514999,63.310001,63.481998,63.481998,0
2015-07-20,63.470001,63.730000,63.419998,63.484001,63.484001,0
2015-07-21,63.625000,63.759998,63.500000,63.625000,63.625000,0
2015-07-22,63.580002,63.652000,63.490002,63.583000,63.583000,0
2015-07-23,63.623001,63.887001,63.615002,63.664001,63.664001,0
2015-07-24,63.847000,64.163002,63.847000,63.848000,63.848000,0
2015-07-27,64.099998,64.263000,63.939999,64.099998,64.099998,0
2015-07-28,64.214996,64.239998,63.740002,64.217003,64.217003,0
2015-07-29,63.838001,63.932999,63.770000,63.839001,63.839001,0
2015-07-30,63.880001,64.129997,63.759998,63.882999,63.882999,0
2015-07-31,64.120003,64.203003,63.810001,64.117996,64.117996,0
2015-08-03,63.980000,64.063004,63.889999,63.980000,63.980000,0
2015-08-04,64.124001,64.169998,63.669998,64.124001,64.124001,0
2015-08-05,63.819000,63.930000,63.470001,63.819000,63.819000,0
2015-08-06,63.695999,63.813000,63.643002,63.695999,63.695999,0
2015-08-07,63.731998,63.952999,63.720001,63.733002,63.733002,0
2015-08-10,63.740002,63.908001,63.610001,63.733002,63.733002,0
2015-08-11,63.787998,64.376999,63.720001,63.838001,63.838001,0
2015-08-12,64.325996,64.959999,64.299004,64.325996,64.325996,0
2015-08-13,64.799004,65.330002,64.633003,64.799004,64.799004,0
